instructions_id,enabled,log_only,count,num_estimated_profit_before_gas,num_estimated_profit_after_gas,num_tx,num_successful_tx,execute_abi,from_symbol,to_symbol,query_contract_address,contract_address,,no
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0xa49b3c7c260ce8a7c665e20af8aa6e099a86cf8a+0x8201aa3f:0xc02aaa39_0x2ba592f7,TRUE,FALSE,193,193,34,0,0,./abis/cream_pool.json,WETH,CREAM,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0xa49b3c7c260ce8a7c665e20af8aa6e099a86cf8a,,776
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x5a82503652d05b21780f33178fdf53d31c29b916+0x8201aa3f:0xc02aaa39_0x2ba592f7,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,CREAM,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x5a82503652d05b21780f33178fdf53d31c29b916,,777
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x2ba592f7,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,CREAM,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,778
0xf30fe24b5610e47c9696ed47fc08442f79ada764+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0xc02aaa39_0xc00e94cb,TRUE,FALSE,,,,,,./abis/oasis.json,WETH,COMP,0xf30fe24b5610e47c9696ed47fc08442f79ada764,0x794e6e91555438afc3ccf1c5076a74f42133d08d,,779
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0xc00e94cb,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,COMP,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,780
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x00000000,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,CHI,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,781
0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a+0x7f2b0c09-0x3d7173d89d50a5797614cb7e0324ad6370851909+0x8201aa3f:0xc02aaa39_0x56d81108,TRUE,FALSE,,,,,,./abis/balancer_pool.json,WETH,BZRX,0xdbfb5e6ac6d512d7c35b937fb7b301e9a963314a,0x3d7173d89d50a5797614cb7e0324ad6370851909,,782
0x6604d060b341af00c3d84938a51308fbc9ed397c+0xdf71d7f3-0x7a250d5630b4cf539739df2c5dacb4c659f2488d+0x38ed1739:0xc02aaa39_0x56d81108,FALSE,FALSE,,,,,,./abis/uniswap_v2_router.json,WETH,BZRX,0x6604d060b341af00c3d84938a51308fbc9ed397c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,,783
0x121835e15703a1a7bab32626d0927d60f90a81d7+0x7f2b0c09-0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f+0x38ed1739:0xc02aaa39_0x4fabb145,FALSE,FALSE,,,,,,./abis/sushiswap_router.json,WETH,BUSD,0x121835e15703a1a7bab32626d0927d60f90a81d7,0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,,784
0xf30fe24b5610e47c9696ed47fc08442f79ada764+0x144a2752-0x794e6e91555438afc3ccf1c5076a74f42133d08d+0x0621b4f6:0xc02aaa39_0x0d8775f6,TRUE,FALSE,,,,,,./abis/oasis.json,WETH,BAT,0xf30fe24b5610e47c9696ed47fc08442f79ada764,0x794e6e91555438afc3ccf1c5076a74f42133d08d,,785
